"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Chen Y.; Zhao X.; Hao J.","Chen, Yinnan (56769061200); Zhao, Xinchao (56170196000); Hao, Junling (16021970700)","56769061200; 56170196000; 16021970700","A novel MOPSO-SODE algorithm for solving three-objective SR-ES-TR portfolio optimization problem","2023","Expert Systems with Applications","233","","120742","","","","1","10.1016/j.eswa.2023.120742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164238227&doi=10.1016%2fj.eswa.2023.120742&partnerID=40&md5=417b4d945013b745d1c2e9e8487bdff2","With the development of financial market, people invest their savings into different financial products to increase return. However, financial market is an extremely complex system, where investment opportunities and risk often coexist. For investors, it is necessary to take effective measures to avoid risk while obtaining considerable return. In recent decades, actively managing investment in the form of a portfolio is widely accepted by investors. In this paper, we propose a new three-objective Sortino ratio-expected shortfall-turnover rate (SR-ES-TR) portfolio optimization (PO) model. The Sortino ratio is used to measure the risk-adjusted rate of return. The expected shortfall is used to measure the tail risk of a portfolio. Portfolio liquidity risk is characterized by turnover rate. We constructed a portfolio of ten stocks and solved the SR-ES-TR model by the novel MOPSO-SODE algorithm. Compared with other four multi-objective algorithms, the better performance and validity in solving SR-ES-TR model by MOPSO-SODE algorithm have been verified. © 2023","Expected shortfall; Multi-objective swarm intelligence algorithm; Portfolio optimization; Sortino ratio; Turnover rate","Commerce; Earnings; Financial data processing; Investments; Multiobjective optimization; Risk assessment; Swarm intelligence; Algorithm for solving; Expected shortfall; Multi objective; Multi-objective swarm intelligence algorithm; Optimization problems; Portfolio optimization; Rate models; Sortino ratio; Swarm intelligence algorithms; Turnover rate; Financial markets","Article","Final","","Scopus","2-s2.0-85164238227"
"","","","Retraction: Deployment optimization of multistage investment portfolio service and hybrid intelligent algorithm under edge computing (PLoS ONE (2021) 16:6 (e0252244) DOI: 10.1371/journal.pone.025224)","2023","PLoS ONE","18","11 November","e0294882","","","","0","10.1371/journal.pone.0294882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181404761&doi=10.1371%2fjournal.pone.0294882&partnerID=40&md5=4a4eda2cca373fe683aa8a3fabd4648b","The PLOS ONE Editors retract this article [1] because it was identified as one of a series of submissions for which we have concerns about peer review integrity and similarities across articles. These concerns call into question the validity and provenance of the reported results. We regret that the issues were not identified prior to the article’s publication.ZL agreed with the retraction. XZ and HS either did not respond directly or could not be reached. © 2023 The PLOS ONE Editors. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","algorithm; drug therapy; erratum; investment; open access publishing; peer review; therapy; validity","Erratum","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85181404761"
"Ma X.; Liu S.; Hong W.","Ma, Xiasheng (57984997900); Liu, Shengcai (57188809104); Hong, Wenjing (57020584700)","57984997900; 57188809104; 57020584700","Enhancing Multi-Objective Optimization with Automatic Construction of Parallel Algorithm Portfolios","2023","Electronics (Switzerland)","12","22","4639","","","","0","10.3390/electronics12224639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178347836&doi=10.3390%2felectronics12224639&partnerID=40&md5=6e81cf7fcba15119475f454659c8aff0","It has been widely observed that there exists no universal best Multi-Objective Evolutionary Algorithm (MOEA) dominating all other MOEAs on all possible Multi-Objective Optimization Problems (MOPs). In this work, we advocate using the Parallel Algorithm Portfolio (PAP), which runs multiple MOEAs independently in parallel and gets the best out of them, to combine the advantages of different MOEAs. Since the manual construction of PAPs is non-trivial and tedious, we propose to automatically construct high-performance PAPs for solving MOPs. Specifically, we first propose a variant of PAPs, namely MOEAs/PAP, which can better determine the output solution set for MOPs than conventional PAPs. Then, we present an automatic construction approach for MOEAs/PAP with a novel performance metric for evaluating the performance of MOEAs across multiple MOPs. Finally, we use the proposed approach to construct an MOEAs/PAP based on a training set of MOPs and an algorithm configuration space defined by several variants of NSGA-II. Experimental results show that the automatically constructed MOEAs/PAP can even rival the state-of-the-art multi-operator-based MOEAs designed by human experts, demonstrating the huge potential of the automatic construction of PAPs in multi-objective optimization. © 2023 by the authors.","algorithm portfolio; evolutionary algorithm; multi-objective optimization","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85178347836"
"Li C.; Chen Y.; Yang X.; Wang Z.; Lu Z.; Chi X.","Li, Chen (57202213728); Chen, Yidong (57221864444); Yang, Xueying (57225108643); Wang, Zitian (57877391300); Lu, Zhonghua (35192047600); Chi, Xuebin (7006495003)","57202213728; 57221864444; 57225108643; 57877391300; 35192047600; 7006495003","Intelligent Black–Litterman Portfolio Optimization Using a Decomposition-Based Multi-Objective DIRECT Algorithm","2022","Applied Sciences (Switzerland)","12","14","7089","","","","1","10.3390/app12147089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137351441&doi=10.3390%2fapp12147089&partnerID=40&md5=a15988a21dbeb33fa34211bafe6d5fdd","It is agreed that portfolio optimization is of great importance for the financial market. However, input sensitivity and highly-concentrated portfolios have posed a challenge. In this paper, a random forest-based Black–Litterman model is developed, aiming to further enhance the portfolio performance, which adopts a novel method for generating investor views on the basis of random forests. More specifically, the view vector is generated based on the predicted asset returns obtained by random forests, and the confidence matrix which contains the uncertainty of each view is measured by the difference in the predicted values of multiple trees. Furthermore, motivated by decomposition strategy, a novel multi-objective DIRECT algorithm is introduced to effectively resolve the proposed model. Through the construction of a unique indicator, the algorithm possesses the capacity to select potentially-optimal hyperrectangles in all reference directions simultaneously, which will further improve the exploratory nature. Experimental results have demonstrated that the proposed algorithm achieves a better performance over NSGA-II and MOEA/D on the MOP and DTLZ benchmark problems. It is also experimentally verified that the random forest-based Black–Litterman model can obtain higher cumulative returns and Sharpe ratios in the application of Chinese stock markets when compared to the classic MV model. © 2022 by the authors.","Black–Litterman model; DIRECT; multi-objective optimization; portfolio selection; random forests","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137351441"
"Wang Y.; Zheng B.","Wang, Yumeng (58067656800); Zheng, Boyu (58067768200)","58067656800; 58067768200","Development of smart trading strategy system based on computer dynamic prediction models and algorithm optimization","2022","2022 IEEE 2nd International Conference on Data Science and Computer Application, ICDSCA 2022","","","","1301","1305","4","0","10.1109/ICDSCA56264.2022.9988696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146366683&doi=10.1109%2fICDSCA56264.2022.9988696&partnerID=40&md5=6273eddc9a64da7b189d760bfba97d33","Balancing the relationship between investment risk and return to formulate trading strategies has become an urgent problem in the capital market. In the study, by analyzing the historical price data of gold and bitcoin from 2016 to 2021, the time series method combined with a simple moving average method was introduced to develop price prediction models of gold and bitcoin in the next trading day, accurate predictions of future price for both financial products were completed. Based on this, by comparing the prices of gold and bitcoin two days before and after, six trading types of their asset portfolios were determined, and an optimal decision-making model was established to provide investors with the best daily trading strategy. Furthermore, the sensitivity under different transaction costs was tested by defining the sensitivity of trading strategies to transaction costs. Research informs investors on how to invest for the best returns. © 2022 IEEE.","an optimal decision-making model; price prediction models; trading strategies","Bitcoin; Costs; Decision making; Gold; Investments; An optimal decision-making model; Decision-making modeling; Dynamic prediction; Optimal decision making; Prediction algorithms; Prediction modelling; Price prediction models; Strategy system; Trading strategies; Transaction cost; Forecasting","Conference paper","Final","","Scopus","2-s2.0-85146366683"
"Mukherjee A.; Singh A.K.; Mallick P.K.; Samanta S.R.","Mukherjee, Ayan (57742599800); Singh, Ashish Kumar (55547111122); Mallick, Pradeep Kumar (56441104200); Samanta, Sasmita Rani (57200450538)","57742599800; 55547111122; 56441104200; 57200450538","Portfolio Optimization for US-Based Equity Instruments Using Monte-Carlo Simulation","2022","Lecture Notes in Networks and Systems","375","","","691","701","10","14","10.1007/978-981-16-8763-1_57","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132016354&doi=10.1007%2f978-981-16-8763-1_57&partnerID=40&md5=211a5c5021c1d49f512246202ce6af21","MPT or the modern portfolio theory, also known as mean–variance analysis, is a mathematical modeling technique that is deployed in constructing portfolios that can maximize the portfolio return for a given amount of risk. In this paper we optimize portfolios in accordance with the modern portfolio theory for US-based equity instruments using Monte-Carlo simulations. For a given Portfolio ‘P’ having ‘n’ number of stocks, with each stock ‘i’ having a weight of ‘wi’ we compute the mean and risk (standard deviation) and optimize our portfolio by optimizing the weights ‘wi’ for the equity instruments using Monte-Carlo simulation. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Equity instruments; Modern portfolio theory (MPT); Monte-Carlo simulation; Portfolio optimization; Risk profile","","Conference paper","Final","","Scopus","2-s2.0-85132016354"
"Mohammadi I.; Mohammadi Khoshouei H.; Aghaei Chadegani A.","Mohammadi, Iman (58018543900); Mohammadi Khoshouei, Hamzeh (58018544000); Aghaei Chadegani, Arezoo (46661731500)","58018543900; 58018544000; 46661731500","Portfolio optimization in the capital market bubble space, an application of meta-heuristic algorithms","2023","Managerial Finance","49","4","","741","757","16","0","10.1108/MF-03-2022-0133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144057244&doi=10.1108%2fMF-03-2022-0133&partnerID=40&md5=e961239f6d20cd40cb555035e8af17f1","Purpose: In this study, to maximize returns and minimize investment risk, an attempt was made to form an optimal portfolio under conditions where the capital market has a price bubble. According to the purpose, the research was of the applied type, in terms of data, quantitative and postevent, and in terms of the type of analysis, it was of the descriptive-correlation type. Sequence, skewness and kurtosis tests were used to identify the months with bubbles from 2015 to 2021 in the Tehran Stock Exchange. After identifying the bubble courses, artificial bee colony meta-heuristic and invasive weed algorithms were used to optimize the portfolio. The purpose of this paper is to address these issues. Design/methodology/approach: The existence of bubbles in the market, especially in the capital market, can prevent the participation of investors in the capital market process and the correct allocation of financial resources for the economic development of the country. However, due to the goal of investors to achieve a portfolio of high returns with the least amount of risk, there is need to pay attention to these markets increases. Findings: The results identify 14 periods of price bubbles during the study period. Additionally, stock portfolios with maximum returns and minimum risk were selected for portfolio optimization. According to the results of using meta-heuristic algorithms to optimize the portfolio, in relation to the obtained returns and risk, no significant difference was observed between the returns and risk of periods with price bubbles in each of the two meta-heuristic algorithms. This study can guide investors in identifying bubble courses and forming an optimal portfolio under these conditions. Research limitations/implications: One of the limitations of this research is the non-generalizability of the findings to stock exchanges of other countries and other time periods due to the condition of the price bubble, as well as other companies in the stock market due to the restrictions considered for selecting the statistical sample. Originality/value: This study intends to form an optimal stock portfolio in a situation where the capital market suffers from a price bubble. This study provides an effective and practical solution for investors in the field of stock portfolio optimization. © 2022, Emerald Publishing Limited.","Meta-heuristic algorithm; Portfolio optimization; Price bubble; Returns; Risk","","Article","Final","","Scopus","2-s2.0-85144057244"
"Chen Y.; Ye L.; Li R.; Zhao X.","Chen, Yinnan (56769061200); Ye, Lingjuan (57218098855); Li, Rui (57192998134); Zhao, Xinchao (56170196000)","56769061200; 57218098855; 57192998134; 56170196000","A Multi-Period Constrained Multi-Objective Evolutionary Algorithm with Orthogonal Learning for Solving the Complex Carbon Neutral Stock Portfolio Optimization Model","2023","Journal of Systems Science and Complexity","36","2","","686","715","29","2","10.1007/s11424-023-2406-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152895330&doi=10.1007%2fs11424-023-2406-3&partnerID=40&md5=83a8e7ed7505399f108f84f30b420e13","Financial market has systemic complexity and uncertainty. For investors, return and risk often coexist. How to rationally allocate funds into different assets and achieve excess returns with effectively controlling risk are main problems to be solved in the field of portfolio optimization (PO). At present, due to the influence of modeling and algorithm solving, the PO models established by many researchers are still mainly focused on single-stage single-objective models or single-stage multi-objective models. PO is actually considered as a multi-stage multi-objective optimization problem in real investment scenarios. It is more difficult than the previous single-stage PO model for meeting the realistic requirements. In this paper, the authors proposed a mean-improved stable tail adjusted return ratio-maximum drawdown rate (M-ISTARR-MD) PO model which effectively characterizes the real investment scenario. In order to solve the multi-stage multi-objective PO model with complex multi-constraints, the authors designed a multi-stage constrained multi-objective evolutionary algorithm with orthogonal learning (MSCMOEA-OL). Comparing with four well-known intelligence algorithms, the MSCMOEA-OL algorithm has competitive advantages in solving the M-ISTARR-MD model on the proposed constructed carbon neutral stock dataset. This paper provides a new way to construct and solve the complex PO model. © 2023, The Editorial Office of JSSC & Springer-Verlag GmbH Germany.","carbon-neutral; Constrained multi-objective optimization; multi-period constrained multi-objective evolutionary algorithm; orthogonal learning; portfolio optimization","Carbon; Competition; Constrained optimization; Evolutionary algorithms; Investments; Multiobjective optimization; Carbon neutrals; Constrained multi-objective optimizations; Multi-Objective Evolutionary Algorithm; Multi-period; Multi-period constrained multi-objective evolutionary algorithm; Multi-stages; Orthogonal learning; Portfolio optimization; Portfolio optimization models; Single stage; Learning algorithms","Article","Final","","Scopus","2-s2.0-85152895330"
"Zhang X.; Zhong C.; Abualigah L.","Zhang, Xuecong (57956587800); Zhong, Chen (58444588200); Abualigah, Laith (57190984712)","57956587800; 58444588200; 57190984712","Foreign exchange forecasting and portfolio optimization strategy based on hybrid-molecular differential evolution algorithms","2023","Soft Computing","27","7","","3921","3939","18","3","10.1007/s00500-022-07526-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141372145&doi=10.1007%2fs00500-022-07526-6&partnerID=40&md5=ea2109736ea47f70316335de1dcf6727","At present, the COVID-19 epidemic is still spreading at home and abroad, and the foreign exchange market is highly volatile. From financial institutions to individual investors, foreign exchange asset allocation has become important contents worthy of attention. However, most intelligent optimization algorithms (hereinafter IOAS) adopt the existing data and ignore the forecasted one in the foreign exchange portfolio allocation, which will result in a huge difference between portfolio allocation and actual demand; at the same time, many IOAS are less adaptable and have lower optimization ability in portfolio problems. To solve the aforementioned problems, this paper first proposed a DETS based on hybrid tabu search and differential evolution algorithms (DEAs), which has excellent optimization ability. Subsequently, the DETS algorithm was applied to support vector machine (SVM) model. Experiments show that, compared with other algorithms, the MAE and RMSE obtained by using DETS optimization parameters are reduced by at least 3.79 and 1.47%, while the CTR is improved by at least 2.19%. Then combined with the DETS algorithm and Pareto sorting theory, an algorithm suitable for multi-objective optimization was further proposed, named NSDE-TS. Finally, by applying NSDE-TS algorithm, the optimal foreign exchange portfolio is acquired. The empirical analysis shows that the Pareto front obtained by this algorithm is better than that of NSGA-II. Since the lower the uniformity index and convergence index, the stronger the optimization performance of the corresponding algorithm, compared with NSGA-II, its uniformity and convergence index decreased by 15.7 and 39.6%. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Differential evolution algorithm; Exchange rate forecast; Foreign exchange portfolio; Pareto principle; Tabu search algorithm","COVID-19; Electronic trading; Evolutionary algorithms; Investments; Multiobjective optimization; Support vector machines; Tabu search; Convergence indices; Differential evolution algorithms; Exchange rate forecast; Exchange rates; Foreign exchange; Foreign exchange portfolio; NSGA-II; Optimization ability; Tabu search algorithms; Uniformity index; Pareto principle","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85141372145"
"Zhang X.; Chen X.","Zhang, Xudong (58184988400); Chen, Xinyi (58061065600)","58184988400; 58061065600","Study on Trading Strategy Model of Financial Assets Based on Modified LSTM and Single-Objective Optimization Algorithm","2023","Lecture Notes in Electrical Engineering","1019 LNEE","","","932","943","11","0","10.1007/978-981-99-0923-0_93","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152630912&doi=10.1007%2f978-981-99-0923-0_93&partnerID=40&md5=6e1e9e73f7570f1c38f149323f608032","It is of great significance to accurately predict the price trend of financial assets and establish a trading strategy model to guide the trades’ investment. Taking the five-year gold price in London Bullion Market and the five-year bitcoin price in NASDAQ market from 2022 MCM C test as data sources, we established the asset price prediction model via a modified LSTM, in which a two connection layers constructor was designed to reduce the impact of different features on the classification result. It was found that the modified LSTM models predicted the prices more accurately, with the mean square errors between the predicted and the actual prices being 0.00395 for gold and 0.00288 for bitcoin, respectively. An asset trading strategy model based on the LSTM forecast prices was established by applying a single-objective optimization method. According to the model, traders could reach $37,840 asset if they invested $1,000 as the initial funding five years ago. It was shown that the financial asset trading strategy model via the modified LSTM and single-objective optimization algorithm was effective, which would provide a reliable guidance for the best portfolio selection. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Modified LSTM algorithm; Single-objective optimization algorithm; Trading strategy model of financial assets","Bitcoin; Costs; Forecasting; Gold; Investments; Long short-term memory; Optimization; Financial assets; Gold prices; Modified LSTM algorithm; Optimization algorithms; Price trends; Single objective optimization; Single-objective optimization algorithm; Strategy modeling; Trading strategies; Trading strategy model of financial asset; Mean square error","Conference paper","Final","","Scopus","2-s2.0-85152630912"
"Wu Y.; Wei J.; Ying W.; Cui Z.; Pan X.; Wang Z.","Wu, Yu (56102223300); Wei, Jianle (57667849500); Ying, Weiqin (23399061600); Cui, Zhen (57667849600); Pan, Xuanda (57852911800); Wang, Zhenyu (54586133800)","56102223300; 57667849500; 23399061600; 57667849600; 57852911800; 54586133800","A Multi-objective Evolutionary Algorithm Based on Piecewise Parallel Decomposition for Portfolio Optimization","2022","Communications in Computer and Information Science","1590 CCIS","","","41","51","10","0","10.1007/978-981-19-4109-2_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136336885&doi=10.1007%2f978-981-19-4109-2_5&partnerID=40&md5=38c1fe8e84d9bb52fd5fe82fe3dc8727","Due to the nature of multiple objectives, the portfolio optimization problems based on the Mean-Variance model are very suitable to be solved by multi-objective evolutionary algorithms (MOEAs). However, most of the existing MOEAs do not consider the preferences of decision-makers. Meanwhile, there are certain limitations to the traditional crossover and mutation strategy in the exploration of population diversity. To overcome these disadvantages, this paper proposes a multi-objective evolutionary algorithm based on piecewise parallel decomposition (MOEA-PPD). The algorithm takes the largest Sharpe ratio as the piecewise marker of parallel decomposition for portfolio optimization problems. In addition, a neuro-evolution strategy is applied to better approximate a global non-dominated front in the early stage. Then a crossover and mutation strategy is used to enhance the convergence of the obtained non-dominated front in the later stage. Experimental results show that the proposed algorithm is competitive in terms of diversity and convergence for portfolio optimization. © 2022, Springer Nature Singapore Pte Ltd.","Evolutionary algorithms; Multi-objective optimization; Neuro-evolution; Portfolio optimization; Sharpe ratio","Decision making; Evolutionary algorithms; Financial data processing; Crossover and mutation; Crossover strategies; Multi-Objective Evolutionary Algorithm; Multi-objectives optimization; Mutation strategy; Neuro evolutions; Optimization problems; Piece-wise; Portfolio optimization; Sharpe ratios; Multiobjective optimization","Conference paper","Final","","Scopus","2-s2.0-85136336885"
