"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybridized Artificial Bee Colony Algorithm for Constrained Portfolio Optimization Problem","I. Strumberger; E. Tuba; N. Bacanin; M. Beko; M. Tuba","Faculty of Informatics and Computing, Singidunum University, Belgrade, Serbia; Faculty of Informatics and Computing, Singidunum University, Belgrade, Serbia; Faculty of Informatics and Computing, Singidunum University, Belgrade, Serbia; CICANT-CIC.DIGITAL, Universidade Lusófona de Humanidades e Tecnologias, Lisbon, Portugal; Faculty of Informatics and Computing, Singidunum University, Belgrade, Serbia","2018 IEEE Congress on Evolutionary Computation (CEC)","4 Oct 2018","2018","","","1","8","Portfolio selection problem that deals with the optimal allocation of capital is a well-known hard optimization problem in the domains of economics and finance. Basic version of the problem is multi-objective since it deals with maximization of return with simultaneous minimization of risk. Additional real world constraints, including cardinality, make the problem even harder. Many techniques and heuristics have been applied to this intractable optimization problem, however swarm intelligence algorithms have been implemented only few times for this task, even though they are known to be very successful for that class of problems. In this paper, we hybridized artificial bee colony algorithm with elements inspired by genetic algorithms to obtain better balance between intensification and diversification, especially during late stages, and applied the proposed improved algorithm to the cardinality constrained mean-variance version of the portfolio selection problem. Experimental results on standard benchmark datasets from five stock indexes and comparative analysis with other cutting edge algorithms have shown that our proposed algorithm achieved better results considering all relevant metrics i.e. mean Euclidean distance between standard efficiency frontier and heuristic efficiency frontier from sets of Pareto optimal portfolios obtained by tested algorithms, mean return error and variance of return error.","","978-1-5090-6017-7","10.1109/CEC.2018.8477732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8477732","","Portfolios;Optimization;Biological system modeling;Mathematical model;Particle swarm optimization;Linear programming;Standards","","12","","46","IEEE","4 Oct 2018","","","IEEE","IEEE Conferences"
"A combinatorial algorithm for the cardinality constrained portfolio optimization problem","T. Cui; S. Cheng; R. Bai","Division of Computer Science, The University of Nottingham, Ningbo, China; International Doctoral Innovation Centre, The University of Nottingham, Ningbo, China; Division of Computer Science, The University of Nottingham, Ningbo, China","2014 IEEE Congress on Evolutionary Computation (CEC)","22 Sep 2014","2014","","","491","498","Portfolio optimization is an important problem based on the modern portfolio theory (MPT) in the finance field. The idea is to maximize the portfolio expected return as well as minimizing portfolio risk at the same time. In this work, we propose a combinatorial algorithm for the portfolio optimization problem with the cardinality and bounding constraints. The proposed algorithm hybridizes a metaheuristic approach (particle swarm optimization, PSO) and a mathematical programming method where PSO is used to deal with the cardinality constraints and the math programming method is used to deal with the rest of the model. Computational results are given for the benchmark datasets from the OR-library and they indicate that it is a useful strategy for this problem. We also present the solutions obtained by the CPLEX mixed integer program solver for these instances and they can be used as the criteria for the comparison of algorithms for the same problem in the future.","1941-0026","978-1-4799-1488-3","10.1109/CEC.2014.6900357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900357","Cardinality Constrained Portfolio Optimization;Constrained problem;Particle swarm optimization","Portfolios;Mathematical model;Heuristic algorithms;Computational modeling;Optimization;Particle swarm optimization;Equations","","10","","20","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Forecasting Portfolio Optimization using Artificial Neural Network and Genetic Algorithm","M. M. Solin; A. Alamsyah; B. Rikumahu; M. A. Arya Saputra","School of Economics and Business, Telkom University, Bandung, Indonesia; School of Economics and Business, Telkom University, Bandung, Indonesia; School of Economics and Business, Telkom University, Bandung, Indonesia; School of Economics and Business, Telkom University, Bandung, Indonesia","2019 7th International Conference on Information and Communication Technology (ICoICT)","16 Sep 2019","2019","","","1","7","Investment has an important role in the economic growth of a country. The higher investment value obtained by a country, the faster the country is able to develop their prosperity. However, the investor faces some obstacle in investment activity to have a reasonable return and acceptable risk. In stock investments area, investors could increase chance of getting higher returns by making predictions and diversifying by forming a stock portfolio. Previous studies have stated that Artificial Neural Network (ANN), which are one of the machine learning models inspired by the activity of human brain cells have more advantages to predict the stock future value in terms of speed, accuracy, and the amount of data that can be processed compared to other stock prediction models. Diversification is a method of dividing investment funds into different index stocks, with the aim of reducing the investment risk. With thousands of stocks in the market, deciding which portfolio should be chosen is difficult. This study extends the scope of several previous studies, which are only limited to perform predictions using ANN or GA without forming an optimal stock portfolio. The objective of this study is to predict future stock values using ANN, then form those optimal stock portfolios using GA with aims to get the best optimization of maximal return and minimal risk value. The results of this study show, the implementation of GA as an alternative to the Single Index Model (SIM) method show better optimization index.","","978-1-5386-8052-0","10.1109/ICoICT.2019.8835344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835344","Investment;Stock Portfolio;Prediction;Machine Learning;Single Index Model;Artificial Neural Network;Genetic Algorithm","Portfolios;Artificial neural networks;Genetic algorithms;Investment;Indexes;Optimization;Predictive models","","8","","26","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Novel Deep Reinforcement Algorithm With Adaptive Sampling Strategy for Continuous Portfolio Optimization","S. -H. Huang; Y. -H. Miao; Y. -T. Hsiao","Department of Information Management and Finance, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Institute of Information Management, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Institute of Information Management, National Yang Ming Chiao Tung University, Hsinchu, Taiwan","IEEE Access","31 May 2021","2021","9","","77371","77385","Quantitative trading targets favorable returns by determining patterns in historical data through statistical or mathematical approaches. With advances in artificial intelligence, many studies have indicated that deep reinforcement learning (RL) can perform well in quantitative trading by predicting price change trends in the financial market. However, most of the related frameworks display poor generalizability in the testing stage. Thus, we incorporated adversarial learning and a novel sampling strategy for RL portfolio management. The goal was to construct a portfolio comprising five assets from the constituents of the Dow Jones Industrial Average and to achieve excellent performance through our trading strategy. We used adversarial learning during the RL process to enhance the model's robustness. Moreover, to improve the model's computational efficiency, we introduced a novel sampling strategy to determine which data are worth learning by observing the learning condition. The experimental results revealed that the model with our sampling strategy had more favorable performance than the random learning strategy. The Sharpe ratio increased by 6 %-7 %, and profit increased by nearly 45 %. Thus, our proposed learning framework and the sampling strategy we employed are conducive to obtaining reliable trading rules.","2169-3536","","10.1109/ACCESS.2021.3082186","Ministry of Science and Technology, Taiwan(grant numbers:MOST 110-2622-8-009-014-TM1,MOST 109-2221-E-009-139,MOST 109-2622-E-009-002-CC2,MOST 109-2218-E-009-015); Financial Technology (FinTech) Innovation Research Center, National Yang Ming Chiao Tung University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9437210","Portfolio management;reinforcement learning;adversarial learning","Portfolios;Training;Mathematical model;Optimization;Data models;Market research;Investment","","8","","35","CCBYNCND","20 May 2021","","","IEEE","IEEE Journals"
"A hybrid genetic algorithm for a two-stage stochastic portfolio optimization with uncertain asset prices","T. Cui; R. Bai; A. J. Parkes; F. He; R. Qu; J. Li","Division of Computer Science, University of Nottingham Ningbo, China; Division of Computer Science, University of Nottingham Ningbo, China; University of Nottingham, Nottingham, Nottinghamshire, GB; University of Nottingham, Nottingham, Nottinghamshire, GB; University of Nottingham, Nottingham, Nottinghamshire, GB; University of Stirling, Stirling, Stirling, GB","2015 IEEE Congress on Evolutionary Computation (CEC)","14 Sep 2015","2015","","","2518","2525","Portfolio optimization is one of the most important problems in the finance field. The traditional mean-variance model has its drawbacks since it fails to take the market uncertainty into account. In this work, we investigate a two-stage stochastic portfolio optimization model with a comprehensive set of real world trading constraints in order to capture the market uncertainties in terms of future asset prices. A hybrid approach, which integrates genetic algorithm (GA) and a linear programming (LP) solver is proposed in order to solve the model, where GA is used to search for the assets selection heuristically and the LP solver solves the corresponding sub-problems of weight allocation optimally. Scenarios are generated to capture uncertain prices of assets for five benchmark market instances. The computational results indicate that the proposed hybrid algorithm can obtain very promising solutions. Possible future research directions are also discussed.","1941-0026","978-1-4799-7492-4","10.1109/CEC.2015.7257198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7257198","Hybrid Algorithm;Portfolio Optimization;Stochastic Programming;Genetic Algorithm","Portfolios;Stochastic processes;Genetic algorithms;Optimization;Mathematical model;Uncertainty;Computational modeling","","4","","25","IEEE","14 Sep 2015","","","IEEE","IEEE Conferences"
"A improved algorithm for fuzzy multistage portfolio optimization model","G. Yang; X. Liu","School of Economics and Management, Southeast University, Nanjing, Jiangsu, China; School of Economics and Management, Southeast University, Nanjing, Jiangsu, China","2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","10 Nov 2016","2016","","","1599","1605","This paper presents an improved algorithm for multistage portfolio optimization model in fuzzy environment. Firstly, the basic multistage portfolio selection problem is introduced by using multiple criteria, including investment return, transaction cost and risk. Then, a TOPSIS compromised programming (TOPSCP) approach is designed to transform the proposed model into single objective model. Finally, a genetic algorithm is devised for obtaining optimal solutions. Furthermore, a numerical example is given to illustrate the advantages of the algorithm.","","978-1-5090-0626-7","10.1109/FUZZ-IEEE.2016.7737881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7737881","fuzzy portfolio;multistage portfolio;optimization model;algorithm","Portfolios;Optimization;Programming;Genetic algorithms;Algorithm design and analysis;Investment;Numerical models","","1","","28","IEEE","10 Nov 2016","","","IEEE","IEEE Conferences"
"Iε+LGEA A Learning-Guided Evolutionary Algorithm Based on Iε+ Indicator for Portfolio Optimization","F. Wang; Z. Huang; S. Wang","School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA, USA","Complex System Modeling and Simulation","2 Aug 2023","2023","3","3","191","201","Portfolio optimization is a classical and important problem in the field of asset management, which aims to achieve a trade-off between profit and risk. Previous portfolio optimization models use traditional risk measurements such as variance, which symmetrically delineate both positive and negative sides and are not practical and stable. In this paper, a new model with cardinality constraints is first proposed, in which the idiosyncratic volatility factor is used to replace traditional risk measurements and can capture the risks of the portfolio in a more accurate way. The new model has practical constraints which involve the sparsity and irregularity of variables and make it challenging to be solved by traditional Multi-Objective Evolutionary Algorithms (MOEAs). To solve the model, a Learning-Guided Evolutionary Algorithm based on Iε+ indicator (Iε+LGEA) is developed. In Iε+LGEA the Iε+ indicator is incorporated into the initialization and genetic operators to guarantee the sparsity of solutions and can help improve the convergence of the algorithm. And a new constraint-handling method based on Iε+ indicator is also adopted to ensure the feasibility of solutions. The experimental results on five portfolio trading datasets including up to 1226 assets show that Iε+LGEA outperforms some state-of-the-art MOEAs in most cases.","2097-3705","","10.23919/CSMS.2023.0012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10206019","portfolio optimization;evolutionary algorithm;sparse solution space;indicator-based Evolutionary Algorithm (EA)","Sociology;Evolutionary computation;Genetics;Asset management;Statistics;Complex systems;Portfolios","","1","","20","","2 Aug 2023","","","TUP","TUP Journals"
"Testing an evolutionary portfolio algorithm on the CEC2016 real-parameter single objective optimization","J. Yi; H. Zheng; G. Yang","Department of Computer Science and Technology, Beijing University of Civil Engineering and Architecture, Beijing, China; Department of Information Renmin University of China, Multimedia Computing Lab, Beijing, China; Department of Information Renmin University of China, Multimedia Computing Lab, Beijing, China","2016 IEEE Congress on Evolutionary Computation (CEC)","21 Nov 2016","2016","","","4996","5001","In order to take advantages of evolutionary algorithms inspired by different biological evolutions, varieties of approaches have been proposed to combine them together. One of them is the portfolio approach, which keeps choosing a component algorithm from a portfolio of evolutionary algorithms (EAs) to run during the optimizing process. In our approach, each component algorithm has its own population and runs independently without information exchange. At the beginning of each generation, only the component algorithm with the best predicted performance is allowed to run. The proposed portfolio approach is tested on the CEC2016 real-parameter single objective optimization benchmarks. The results show that it is competitive.","","978-1-5090-0623-6","10.1109/CEC.2016.7748321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7748321","","Prediction algorithms;Convergence;Portfolios;Sociology;Statistics;Iron;Optimization","","1","","15","IEEE","21 Nov 2016","","","IEEE","IEEE Conferences"
"Portfolio Optimization Based on Principal Component Analysis and Second-Order Surrogate-Assisted Memetic Differential Evolution Algorithm","N. Han; Y. Chen; X. Zhao; M. Han","School of Science, Beijing University of Posts and Telecommunications, Beijing, China; School of Science, Beijing University of Posts and Telecommunications, Beijing, China; School of Science, Beijing University of Posts and Telecommunications, Beijing, China; School of Science, Beijing University of Posts and Telecommunications, Beijing, China","2023 5th International Conference on Data-driven Optimization of Complex Systems (DOCS)","31 Oct 2023","2023","","","1","7","Portfolio optimization involves applying the concept of diversification across asset classes, which entails investing in a diverse range of asset types to mitigate risk. It aims to maximize net gains in a portfolio while simultaneously minimizing risk. In this paper, principal component analysis and k-means algorithm are employed for stock screening, and an enhanced differential evolution algorithm is proposed to solve the portfolio optimization model. Through a comprehensive analysis of stock data using principal component analysis and the k-means clustering algorithm, it was discovered that certain factors have a significant impact on stock price movement. Subsequently, 10 stocks with investment value were selected. Additionally, a Mean-Value at Risk (VaR) model is constructed, considering both the cost function and the diversification constraint. Finally, a second-order surrogate-assisted memetic differential evolution (SOSMDE) algorithm is introduced to solve the proposed model. The experiments demonstrate that the proposed SOSMDE algorithm is effective in solving the Mean-VaR model and that principal component analysis is a valuable tool for addressing the problem of portfolio optimization.","","979-8-3503-9352-1","10.1109/DOCS60977.2023.10294769","National Natural Science Foundation of China(grant numbers:61973042); Beijing Natural Science Foundation(grant numbers:1202020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294769","portfolio optimization;principal component analysis;Mean-VaR model;differential evolution algorithm;local surrogate","Memetics;Analytical models;Reactive power;Clustering algorithms;Optimization methods;Search problems;Mathematical models","","","","24","IEEE","31 Oct 2023","","","IEEE","IEEE Conferences"
"A Deep Neural Network Algorithm for Linear-Quadratic Portfolio Optimization With MGARCH and Small Transaction Costs","A. Papanicolaou; H. Fu; P. Krishnamurthy; F. Khorrami","Department of Mathematics, North Carolina State University, Raleigh, NC, USA; Electrical and Computer Engineering, NYU Tandon School of Engineering, Brooklyn, NY, USA; Electrical and Computer Engineering, NYU Tandon School of Engineering, Brooklyn, NY, USA; Electrical and Computer Engineering, NYU Tandon School of Engineering, Brooklyn, NY, USA","IEEE Access","24 Feb 2023","2023","11","","16774","16792","We analyze a fixed-point algorithm for reinforcement learning (RL) of optimal portfolio mean-variance preferences in the setting of multivariate generalized autoregressive conditional-heteroskedasticity (MGARCH) with a small penalty on trading. A numerical solution is obtained using a neural network (NN) architecture within a recursive RL loop. A fixed-point theorem proves that NN approximation error has a big-oh bound that we can reduce by increasing the number of NN parameters. The functional form of the trading penalty has a parameter  $\epsilon >0$  that controls the magnitude of transaction costs. When  $\epsilon $  is small, we can implement an NN algorithm based on the expansion of the solution in powers of  $\epsilon $ . This expansion has a base term equal to a myopic solution with an explicit form, and a first-order correction term that we compute in the RL loop. Our expansion-based algorithm is stable, allows for fast computation, and outputs a solution that shows positive testing performance.","2169-3536","","10.1109/ACCESS.2023.3245570","NSF(grant numbers:DMS-1907518); New York University Abu Dhabi (NYUAD) Center for Artificial Intelligence and Robotics, funded by Tamkeen under the NYUAD Research Institute Award(grant numbers:CG010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10044671","Hetereoskedasticity;MGARCH;fixed-point algorithms;reinforcement learning;deep neural networks","Artificial neural networks;Costs;Approximation algorithms;Optimization;Portfolios;Reinforcement learning;Covariance matrices;Deep learning;Neural networks","","","","47","CCBY","14 Feb 2023","","","IEEE","IEEE Journals"
"Optimization of Credit Score Card Portfolio Based on QUBO Model with Quantum Annealing Algorithm","S. Feng; J. Shi; R. Zhang; Y. Wang; F. Chen; X. Wang","School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China; School of Computer Science ands Technology, Wuhan University of Science and Technology, Wuhan, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China","2023 IEEE International Conference on Electrical, Automation and Computer Engineering (ICEACE)","28 Feb 2024","2023","","","1187","1195","With the progress of science and technology, quantum computing plays an increasingly important role in various fields, solving the traditional arithmetic bottleneck. In the financial field, credit scoring is the core of the lending industry and one of the most common risk management tools. Researchers are trying to find the best threshold-setting scheme to maximize revenue through quantum computing. This approach not only solves the optimization problem in the field of credit score cards, but also provides a new way of thinking about optimization problems in other fields. In this paper, three traditional computational models, one-fold credit card strategy, two-fold credit card combination strategy, and three-fold credit card combination strategy, are proposed, and the credit score card scheme that maximizes the final revenue is solved for each of the three models. The results show that under the one-fold credit card strategy, the final income is maximized at $54,087.2; under the two-fold credit card combination strategy, the final income is maximized at $41,106.3; and under the three-fold credit card combination strategy, the final income is maximized at $27,914.8. Secondly, this paper converts these three strategies to the QUBO model and obtains the maximum final income that is consistent with the maximum under the traditional model, with an accuracy of 96.3%, 92.7%, and 89.9% for the three combination strategies, respectively.","","979-8-3503-0961-4","10.1109/ICEACE60673.2023.10441858","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441858","Quantum computing;Credit scoring;Computational model;QUBO model","Analytical models;Computational modeling;Credit cards;Quantum annealing;Risk management;Optimization;Portfolios","","","","7","IEEE","28 Feb 2024","","","IEEE","IEEE Conferences"
"The mean-variance-skewness cardinality constrained portfolio optimization problem using a customized multi-objective evolutionary algorithm","L. Li; W. Huang; Y. Zhang","School of Computer and Information Engineering, Heilongjiang Provincial Key Laboratory of Electronic Commerce and Information Processing, Harbin University of Commerce, Harbin, China; School of Computer and Information Engineering, Harbin University of Commerce, Harbin, China; School of Computer and Information Engineering, Heilongjiang Provincial Key Laboratory of Electronic Commerce and Information Processing, Harbin University of Commerce, Harbin, China","2019 3rd International Conference on Electronic Information Technology and Computer Engineering (EITCE)","18 May 2020","2019","","","1938","1944","MVSCCPO is a mean-variance-skewness portfolio optimization problem with cardinality constraint. It increases the skewness as the third objective, and introduces cardinality constraint to reduce the difficulty of asset management. A customized NSGA-III(c-NSGA-III) algorithm is proposed for the problem. It introduces an effective solution representation mechanism, customized crossover and mutation operators, a tournament selection based on membership is introduced in the mating selection phase instead of the original random selection method. Finally, an empirical analysis is carried out to verify the effectiveness of the proposed algorithm by comparing with NSGA-II and MOEA/D. The results show that c-NSGA-III performs better than other algorithms on solving MVSCCPO problem.","","978-1-7281-3584-7","10.1109/EITCE47263.2019.9094951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9094951","component Multi-objective evolutionary algorithm;portfolio optimization;coding mechanism;cardinality constraint;fuzzy clustering","Encoding;Evolutionary computation;Portfolios;Optimization;Sorting;Genetic algorithms;Sociology","","","","22","IEEE","18 May 2020","","","IEEE","IEEE Conferences"
"A Fast Successive QP Algorithm for General Mean-Variance Portfolio Optimization","S. Xiu; X. Wang; D. P. Palomar","Hong Kong University of Science and Technology (HKUST), Clear Water Bay, Kowloon, Hong Kong; Hong Kong University of Science and Technology (HKUST), Clear Water Bay, Kowloon, Hong Kong; Hong Kong University of Science and Technology (HKUST), Clear Water Bay, Kowloon, Hong Kong","IEEE Transactions on Signal Processing","15 Aug 2023","2023","71","","2713","2727","The mean and variance of portfolio returns are the standard quantities to measure the expected return and risk of a portfolio. Efficient portfolios that provide optimal trade-offs between mean and variance warrant consideration. To express a preference among these efficient portfolios, investors have put forward many mean-variance portfolio (MVP) formulations which date back to the classical Markowitz portfolio. However, most existing algorithms are highly specialized to particular formulations and cannot be generalized for broader applications. Therefore, a fast and unified algorithm would be extremely beneficial. In this paper, we first introduce a general MVP problem formulation that can fit most existing cases by exploring their commonalities. Then, we propose a widely applicable and provably convergent successive quadratic programming algorithm (SCQP) for the general formulation. The proposed algorithm can be implemented based on only the QP solvers and thus is computationally efficient. In addition, a fast implementation is considered to accelerate the algorithm. The numerical results show that our proposed algorithm significantly outperforms the state-of-the-art ones in terms of convergence speed and scalability.","1941-0476","","10.1109/TSP.2023.3295180","Hong Kong Government(grant numbers:16207820); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185450","Mean-variance portfolios;successive quadratic programming algorithm;active set methods;Pareto frontier","Portfolios;Optimization;Signal processing algorithms;Linear programming;Optical wavelength conversion;Approximation algorithms;Uncertain systems","","","","61","IEEE","18 Jul 2023","","","IEEE","IEEE Journals"
